,Time Length,Window Accuracy,Window Size
123,1000.0,51.637000000000015,123
124,1000.0,51.10370000000004,124
125,1000.0,51.73439999999994,125
126,1000.0,51.719999999999985,126
127,1000.0,51.94170000000002,127
128,1000.0,51.38590000000002,128
129,1000.0,51.48079999999998,129
130,1000.0,51.55299999999992,130
131,1000.0,51.44480000000002,131
132,1000.0,51.37269999999997,132
133,1000.0,51.59700000000003,133
134,1000.0,51.742999999999924,134
135,1000.0,51.6099,135
136,1000.0,51.286500000000004,136
137,1000.0,51.51599999999994,137
138,1000.0,51.61629999999996,138
139,1000.0,51.759799999999984,139
140,1000.0,51.54290000000003,140
141,1000.0,51.808200000000014,141
142,1000.0,51.29169999999998,142
143,1000.0,51.60710000000002,143
144,1000.0,51.92519999999995,144
145,1000.0,51.78040000000001,145
146,1000.0,51.386000000000045,146
147,1000.0,51.760700000000014,147
148,1000.0,51.93600000000008,148
149,1000.0,51.97329999999999,149
150,1000.0,52.07159999999995,150
151,1000.0,51.653799999999926,151
152,1000.0,51.81569999999992,152
153,1000.0,51.503500000000024,153
154,1000.0,51.38550000000002,154
155,1000.0,51.65829999999998,155
156,1000.0,51.6842,156
157,1000.0,51.534499999999994,157
158,1000.0,52.21560000000001,158
159,1000.0,51.727399999999996,159
160,1000.0,52.04249999999997,160
161,1000.0,51.97080000000001,161
162,1000.0,51.53239999999996,162
163,1000.0,52.07009999999992,163
164,1000.0,51.65590000000001,164
165,1000.0,51.59359999999999,165
166,1000.0,51.51999999999999,166
167,1000.0,51.763299999999994,167
168,1000.0,51.76619999999999,168
169,1000.0,51.688399999999966,169
170,1000.0,51.85879999999998,170
171,1000.0,52.08410000000005,171
172,1000.0,51.568100000000015,172
173,1000.0,52.078200000000024,173
174,1000.0,51.70970000000005,174
175,1000.0,51.73779999999997,175
176,1000.0,51.61439999999996,176
177,1000.0,51.87210000000001,177
178,1000.0,52.1782,178
179,1000.0,52.289500000000004,179
180,1000.0,51.44469999999999,180
181,1000.0,52.01980000000002,181
182,1000.0,51.846500000000006,182
183,1000.0,51.839000000000055,183
184,1000.0,51.70919999999997,184
185,1000.0,51.873100000000015,185
186,1000.0,51.94259999999997,186
187,1000.0,51.840399999999946,187
